Attribut 0: mean: 14.12729173989456, std: 3.5209507607110626
Attribut 1: mean: 19.28964850615115, std: 4.297254637090421
Attribut 2: mean: 91.9690333919156, std: 24.27761929305317
Attribut 3: mean: 654.8891036906854, std: 351.60475406322996
Attribut 4: mean: 0.09636028119507914, std: 0.0140517640665912
Attribut 5: mean: 0.10434098418277683, std: 0.052766329125355164
Attribut 6: mean: 0.08879931581722314, std: 0.07964972534603187
Attribut 7: mean: 0.04891914586994727, std: 0.038768732461474775
Attribut 8: mean: 0.18116186291739886, std: 0.02739018086426853
Attribut 9: mean: 0.06279760984182776, std: 0.007054155881537344
Attribut 10: mean: 0.40517205623901553, std: 0.2770689415253654
Attribut 11: mean: 1.2168534270650255, std: 0.5511634269035759
Attribut 12: mean: 2.8660592267135323, std: 2.0200770991455244
Attribut 13: mean: 40.33707908611603, std: 45.45101341563995
Attribut 14: mean: 0.007040978910369069, std: 0.0029998783671144787
Attribut 15: mean: 0.025478138840070302, std: 0.01789243586828196
Attribut 16: mean: 0.031893716344463974, std: 0.03015952312197048
Attribut 17: mean: 0.011796137082601063, std: 0.006164860746471699
Attribut 18: mean: 0.02054229876977153, std: 0.008259104387588137
Attribut 19: mean: 0.0037949038664323387, std: 0.0026437447504047374
Attribut 20: mean: 16.269189806678394, std: 4.828992576060773
Attribut 21: mean: 25.67722319859402, std: 6.140854318589002
Attribut 22: mean: 107.26121265377854, std: 33.57300156682595
Attribut 23: mean: 880.5831282952548, std: 568.8564589532672
Attribut 24: mean: 0.13236859402460469, std: 0.022812356935544658
Attribut 25: mean: 0.25426504393673116, std: 0.15719817109455372
Attribut 26: mean: 0.2721884833040422, std: 0.208440874611706
Attribut 27: mean: 0.11460622319859395, std: 0.06567455451119317
Attribut 28: mean: 0.2900755711775044, std: 0.061813078544554825
Attribut 29: mean: 0.0839458172231986, std: 0.01804538930859498
